name,version,repository,licenses
tar-stream,2.2.0,https://github.com/mafintosh/tar-stream,MIT
to-fast-properties,2.0.0,https://github.com/sindresorhus/to-fast-properties,MIT
to-readable-stream,1.0.0,https://github.com/sindresorhus/to-readable-stream,MIT
to-regex-range,5.0.1,https://github.com/micromatch/to-regex-range,MIT
traverse,0.3.9,https://github.com/substack/js-traverse,MIT*
treeify,1.1.0,https://github.com/notatestuser/treeify,MIT
tslib,1.14.1,https://github.com/Microsoft/tslib,0BSD
tslib,2.1.0,https://github.com/Microsoft/tslib,0BSD
tunnel,0.0.6,https://github.com/koichik/node-tunnel,MIT
type-fest,0.13.1,https://github.com/sindresorhus/type-fest,(MIT OR CC0-1.0)
typedarray,0.0.6,https://github.com/substack/typedarray,MIT
typescript,4.2.4,https://github.com/Microsoft/TypeScript,Apache-2.0
universalify,0.1.2,https://github.com/RyanZim/universalify,MIT
unzipper,0.10.11,https://github.com/ZJONSSON/node-unzipper,MIT
url-parse-lax,3.0.0,https://github.com/sindresorhus/url-parse-lax,MIT
util-deprecate,1.0.2,https://github.com/TooTallNate/util-deprecate,MIT
util-extend,1.0.3,https://github.com/isaacs/util-extend,MIT
validate-npm-package-license,3.0.4,https://github.com/kemitchell/validate-npm-package-license.js,Apache-2.0
wrap-ansi,7.0.0,https://github.com/chalk/wrap-ansi,MIT
wrappy,1.0.2,https://github.com/npm/wrappy,ISC
xml2js,0.4.23,https://github.com/Leonidas-from-XIV/node-xml2js,MIT
xmlbuilder,11.0.1,https://github.com/oozcitak/xmlbuilder-js,MIT
y18n,5.0.8,https://github.com/yargs/y18n,ISC
yallist,4.0.0,https://github.com/isaacs/yallist,ISC
yargs,16.2.0,https://github.com/yargs/yargs,MIT
yargs-parser,20.2.7,https://github.com/yargs/yargs-parser,ISC
yauzl,2.10.0,https://github.com/thejoshwolfe/yauzl,MIT
zip-stream,4.1.0,https://github.com/archiverjs/node-zip-stream,MIT
zone.js,0.11.4,https://github.com/angular/angular,MIT
